formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	CH7N2OS2	[M + Na]+	CH7N2OS2	-0.5237000737942313	-0.5237000737942313	0.0	2	0.009269009897014725	6.6699732810740295	6.6699732810740295	-5.737406591262309	
2	C2H8O2PS	[M + Na]+	C2H8O2PS	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	5.714936970780916	
3	C2H4N3OPS	[M + H]+	C2H4N3OPS	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-1.3723072774982756	
4	C2H10P3	[M + Na]+	C2H10P3	-4.0388266410916644	-4.0388266410916644	0.0	1	0.0	NaN	NaN	-2.7729494875289533	
5	C6HN2OS	[M + H]+	C6HN2OS	-5.214608098422191	-5.214608098422191	0.0	1	0.0	NaN	NaN	0.6993604266768093	
6	H3N2O6	[M + Na]+	H3N2O6	-7.186861840449254	-7.186861840449254	0.0	1	0.0	NaN	NaN	0.05656379344216284	
