formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C6H15NO4	[M + H]+	C6H15NO4	68.71539962074206	63.99233968550955	4.723059935232514	12	0.6867494183559345	-2.318419114545927	2.596929122253064	-0.1469657367335918		166.10736	184.36265625000001	1_sirius_optimal_100	100
1	C2H7N2O6P	[M + K]+	C2H7N2O6P	24.71893827291558	24.71893827291558	0.0	10	0.23146210653979987	3.911064540404114	5.457895386068698	7.686949972053666		224.96906	186.985	2_sirius_optimal_166	166
1	CH4BClN2O6	[M + Na]+	CH4BClN2O6	65.51528042490656	65.51528042490656	0.0	16	0.2941154525949925	4.849557814804501	4.849557814804501	4.537825495196536		207.97889	188.949375	3_sirius_optimal_200	200
1	CH7N2OS2	[M + Na]+	CH7N2OS2	-0.5237000737942313	-0.5237000737942313	0.0	2	0.009269009897014725	6.6699732810740295	6.6699732810740295	-5.737406591262309		149.98834	187.16	4_sirius_optimal_265	265
1	C3H4NO2P2	[M - CHO2 + H]+	C2H3NP2	-3.605170185988091	-3.605170185988091	0.0	2	0.0	NaN	NaN	-432726.5385861721		103.98286	189.27	5_sirius_optimal_474	474
1	H4NO4	[M + Na]+	H4NO4	18.633837570277638	18.633837570277638	0.0	3	0.9351683086277645	-2.2315989312464026	2.2315989312464026	-0.031504649056617755		105.00325	191.38711335420606	6_sirius_optimal_494	494
1	C3H5N4O6P3S	[M + Na]+	C3H5N4O6P3S	26.820291020261372	26.820291020261372	0.0	11	0.5154620845493446	2.1293439786573707	2.276401026144221	4.794676916415716		340.90512	186.68	7_sirius_optimal_810	810
1	ClH2OP	[M + H2O + H]+	ClH4O2P	13.855122830405772	13.695680421179434	0.15944240922633846	1	0.0	-7.673383758798604	7.673383758798604	-7.770499961298819		102.97022	186.86	8_sirius_optimal_397	397
1	B2H2NOS	[M + Na]+	B2H2NOS	4.250191684159818	4.250191684159818	0.0	3	0.8465080285069779	-2.0193276703178538	6.604213612995307	-0.1344297602661807		107.00079	191.55257812500003	9_sirius_optimal_399	399
1	C2O4P	[M + H]+	C2O4P	-5.3535286639574675	-5.3535286639574675	0.0	1	0.0	-2.7222497774496377	2.7222497774496377	-2.638888694184714		119.96038	189.175	10_sirius_optimal_571	571
1	CH5O9	[M - CHO + H]+	H4O8	14.425677205237495	14.425677205237495	0.0	4	0.019096343447394595	2.1237878440591897	2.1237878440591897	-218066.6334889461		132.99817	189.634189453125	11_sirius_optimal_564	564
1	CH2NOPS	[M + H]+	CH2NOPS	-2.255745229737161	-2.255745229737161	0.0	1	0.0	-0.840686310560965	0.840686310560965	0.2985539576632967		107.96678	190.73	12_sirius_optimal_907	907
1	C12H7NO5P2S3	[M + K]+	C12H7NO5P2S3	3.7351254222287387	3.7351254222287387	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	2.3159261351501685		441.86034	182.72	13_sirius_optimal_530	530
1	C6HO2	[M + H]+	C6HO2	-0.811679527385055	-1.5272268251670473	0.7155472977819923	1	0.0	-8.41217088469782	8.41217088469782	-8.402737202645268		106.00404	190.36562500000002	14_sirius_optimal_398	398
1	CH5O9	[M - CH3O2 + H]+	H2O7	8.633564655964353	8.633564655964353	0.0	3	0.007197904971533323	4.081661181579157	4.081661181579157	-408853.06930565153		114.98760	189.8	15_sirius_optimal_361	361
1	C7H2N3O2PS2	[M + Na]+	C7H2N3O2PS2	4.234818061358569	4.234818061358569	0.0	2	0.7257357746541141	-1.090763790069367	1.090763790069367	0.8072979797857764		277.92205	191.78	16_sirius_optimal_868	868
1	C8H6N3O3PS2	[M + H]+	C8H6N3O3PS2	28.904407387271092	28.904407387271092	0.0	10	0.6671339440955601	-2.7140517064876146	2.7140517064876146	-4.6051955958413995		287.96477	187.16	17_sirius_optimal_108	108
1	C2H6ClN3O6S	[M + H]+	C2H6ClN3O6S	47.90922880032827	47.90922880032827	0.0	15	0.23820798648754204	-1.003592079960949	1.007896693664936	-0.21207476596002303		235.97381	190.90640625	18_sirius_optimal_471	471
1	C7H6N2O4S3	[M - H2O + H]+	C7H4N2O3S3	7.536365295079333	7.536365295079333	0.0	4	0.2597211357047535	-0.5940416570004436	0.930249259974686	-69019.99646934507		260.94577	191.005	19_sirius_optimal_1248	1248
1	C5H5O4S	[M + Na]+	C5H5O4S	30.982915019814325	30.982915019814325	0.0	7	0.40108958388318755	6.035383419370597	6.035383419370597	7.036907647018122		183.98137	189.83249999999998	20_sirius_optimal_300	300
1	C3H6N7O6P3S3	[M + H]+	C3H6N7O6P3S3	7.2242584603044815	7.2242584603044815	0.0	4	0.6201574702800103	-1.4455028758636888	1.4455028758636888	0.04636466119477648		425.88275	195.3	21_sirius_optimal_713	713
1	C3H9N3O3S2	[M + K]+	C3H9N3O3S2	35.46007208208932	35.46007208208932	0.0	15	0.1233927232039298	0.0024780663454901076	1.2307761983083625	-1.3499442832160995		237.97137	187.3625	22_sirius_optimal_941	941
1	C5H5N3O3P2S3	[M - H2O + H]+	C5H3N3O2P2S3	3.468017103019355	3.468017103019355	0.0	3	0.21168322029449368	3.553520677803677	3.553520677803677	-60877.21107405644		295.89108	189.575	23_sirius_optimal_1190	1190
