formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C6HO2	[M + H]+	C6HO2	-0.811679527385055	-1.5272268251670473	0.7155472977819923	1	0.0	-8.41217088469782	8.41217088469782	-8.402737202645268	
2	C2H4NO2P	[M + H]+	C2H4NO2P	-1.2114835658191443	-1.2114835658191443	0.0	1	0.0	-11.34343655085836	11.34343655085836	-11.334002841153412	
3	H2N4OP	[M + H]+	H2N4OP	-3.3296508474027924	-3.3296508474027924	0.0	2	0.5322261058359693	0.7291760163878483	0.7291760163878483	1.3323445924719568	
