formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C8H6N3O3PS2	[M + H]+	C8H6N3O3PS2	28.904407387271092	28.904407387271092	0.0	10	0.6671339440955601	-2.7140517064876146	2.7140517064876146	-4.6051955958413995	
1	C8H8N3O4PS2	[M - H2O + H]+	C8H6N3O3PS2	28.904407387271092	28.904407387271092	0.0	11	0.6671339440955601	-2.7140517064876146	2.7140517064876146	-62548.93894864478	
2	C6H14N2O2PS4	[M - H2O + H]+	C6H12N2OPS4	25.52047364706155	25.52047364706155	0.0	11	0.6717919754543953	-0.149403254703729	1.4386994374948339	-62542.64981820713	
2	C6H12N2OPS4	[M + H]+	C6H12N2OPS4	25.52047364706155	25.52047364706155	0.0	10	0.6717919754543953	-0.149403254703729	1.4386994374948339	1.683934842010262	
3	C5H10N2O4P3S	[M + H]+	C5H10N2O4P3S	24.468011436350896	24.468011436350896	0.0	11	0.6845881371324004	-0.3297630326736463	2.259771003019247	0.280790978337663	
3	C5H12N2O5P3S	[M - H2O + H]+	C5H10N2O4P3S	24.468011436350896	24.468011436350896	0.0	12	0.6845881371324004	-0.3297630326736463	2.259771003019247	-62544.0529620706	
4	C2H9N7O3P2S2	[M - H2O + H]+	C2H7N7O2P2S2	23.91525294704266	23.91525294704266	0.0	10	0.6791110248051024	-1.0180970732886598	2.1402911452941957	-62545.35532277277	
4	C2H7N7O2P2S2	[M + H]+	C2H7N7O2P2S2	23.91525294704266	23.91525294704266	0.0	9	0.6791110248051024	-1.0180970732886598	2.1402911452941957	-1.0215697238339758	
5	C3H10N5O4P3S	[M - H2O + H]+	C3H8N5O3P3S	23.880874593702003	23.880874593702003	0.0	14	0.6088684560794463	-1.904826176057469	2.5491736019027784	-62539.390294481265	
5	C3H8N5O3P3S	[M + H]+	C3H8N5O3P3S	23.880874593702003	23.880874593702003	0.0	13	0.6088684560794463	-1.904826176057469	2.5491736019027784	4.943458567678809	
6	C12H5N2O4S2	[M - H2O + H]+	C12H3N2O3S2	22.467882296545163	22.467882296545163	0.0	8	0.6445886416369621	-0.331855086880645	2.0959095883096044	-62547.859906927246	
6	C12H3N2O3S2	[M + H]+	C12H3N2O3S2	22.467882296545163	22.467882296545163	0.0	7	0.6445886416369621	-0.331855086880645	2.0959095883096044	-3.5261538783102804	
7	C5H10N2O7PS2	[M - H2O + H]+	C5H8N2O6PS2	21.4855155690901	21.4855155690901	0.0	10	0.609194284808695	1.5236183156307594	1.5236183156307594	-62539.63199071382	
7	C5H8N2O6PS2	[M + H]+	C5H8N2O6PS2	21.4855155690901	21.4855155690901	0.0	9	0.609194284808695	1.5236183156307594	1.5236183156307594	4.701762335321285	
8	C3H7N4O9P2	[M - H2O + H]+	C3H5N4O8P2	18.01680731447479	18.01680731447479	0.0	14	0.1185566164442186	0.6543700979400235	2.39718313689876	-62547.00016286901	
8	C3H5N4O8P2	[M + H]+	C3H5N4O8P2	18.01680731447479	18.01680731447479	0.0	13	0.1185566164442186	0.6543700979400235	2.39718313689876	-2.6664098198640995	
9	C6H4N6O2PS2	[M + H]+	C6H4N6O2PS2	17.410017785633897	17.410017785633897	0.0	5	0.6375939409244458	0.06094464049532871	0.3297630326736463	0.057471993697143633	
9	C6H6N6O3PS2	[M - H2O + H]+	C6H4N6O2PS2	17.410017785633897	17.410017785633897	0.0	6	0.6375939409244458	0.06094464049532871	0.3297630326736463	-62544.276281055245	
10	C5H7NO12S	[M - H2O + H]+	C5H5NO11S	15.135504230295906	15.135504230295906	0.0	8	0.09050678660634523	1.2824847431361983	2.9046333955198276	-62547.24185910155	
10	C5H5NO11S	[M + H]+	C5H5NO11S	15.135504230295906	15.135504230295906	0.0	7	0.09050678660634523	1.2824847431361983	2.9046333955198276	-2.9081060526164184	
