formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C2H3BrN3O7P3	[M + Na]+	C2H3BrN3O7P3	5.219980299918844	5.219980299918844	0.0	4	0.1145946574849385	0.23728004496113783	0.7026379923696371	-4.7951312825926555	
2	C3H4NO8P5	[M + K]+	C3H4NO8P5	3.7806989101543005	3.7806989101543005	0.0	5	0.142659768251048	0.6528785012529632	2.5039969907961344	-4.037361970778855	
3	C5H4N3O4P3Se	[M + K]+	C5H4N3O4P3Se	3.1891687997397273	3.1891687997397273	0.0	4	0.1145946574849385	-3.262417256933203	3.262417256933203	-7.8760190617055095	
4	C3H4BrN2O8P2	[M + K]+	C3H4BrN2O8P2	2.6919544503471897	2.6919544503471897	0.0	4	0.09046171633841017	0.47542311716904684	0.47542311716904684	-4.373183932665072	
5	C3H7BrNO7PSe	[M + Na]+	C3H7BrNO7PSe	2.449113780051494	2.449113780051494	0.0	3	0.0708326819105654	-0.5600132162845017	0.5600132162845017	-5.075230373842953	
6	CH2BrN5O7P2	[M + K]+	CH2BrN5O7P2	2.356215119421271	2.356215119421271	0.0	3	0.0708326819105654	4.435543655079597	4.435543655079597	-0.8005448787951492	
7	C3HN3O5P4Se	[M + H2O + H]+	C3H3N3O6P4Se	1.053467552241309	1.053467552241309	0.0	3	0.06978555768454654	-2.21015967933655	2.21015967933655	-7.567869617249099	
7	C3H5N3O7P4Se	[M - H2O + H]+	C3H3N3O6P4Se	1.053467552241309	1.053467552241309	0.0	5	0.1145946574849385	-2.9123786129873364	2.9123786129873364	-47930.41998869606	
7	C3H3N3O6P4Se	[M + H]+	C3H3N3O6P4Se	1.053467552241309	1.053467552241309	0.0	4	0.1145946574849385	-2.9123786129873364	2.9123786129873364	-7.567869617249099	
8	CH3NO10P6	[M + H]+	CH3NO10P6	0.18661336142513374	0.18661336142513374	0.0	3	0.0708326819105654	1.012993432846911	1.012993432846911	-3.7292125261711946	
8	CH5NO11P6	[M - H2O + H]+	CH3NO10P6	0.18661336142513374	0.18661336142513374	0.0	4	0.0708326819105654	1.012993432846911	1.012993432846911	-47926.58133160499	
9	C5H3BBrN2O4P3	[M + K]+	C5H3BBrN2O4P3	0.16111084329114966	0.16111084329114966	0.0	3	0.0708326819105654	2.7010403378033008	2.7010403378033008	-2.284755020129206	
10	CH6BN2O4P7	[M + K]+	CH6BN2O4P7	-0.5301738084247196	-5.7887876210536255	5.258613812628906	4	0.09046171633841017	2.531207412279534	2.531207412279534	-2.7757186926337276	
11	C3N2O6P4Se	[M + H3N + H]+	C3H3N3O6P4Se	-5.543339993292103	-5.543339993292103	0.0	3	0.06978555768454654	-2.21015967933655	2.21015967933655	-7.567869617249099	
