formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	B2H2NOS	[M + Na]+	B2H2NOS	4.250191684159818	4.250191684159818	0.0	3	0.8465080285069779	-2.0193276703178538	6.604213612995307	-0.1344297602661807	
2	BN3O2	[M + Na]+	BN3O2	-1.8995393214241747	-1.8995393214241747	0.0	1	0.0	6.000456099275818	6.000456099275818	-3.9152990416269993	
3	C4H5P	[M + Na]+	C4H5P	-4.712805449826892	-4.712805449826892	0.0	1	0.0	-2.3970621829291683	2.3970621829291683	-12.312900592066711	
4	C2H2BO3	[M + Na]+	C2H2BO3	-6.534669397062596	-6.534669397062596	0.0	1	0.0	-6.547775426250978	6.547775426250978	-16.463654993091666	
