formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C2H3N2O6P	[M - H2O + H]+	C2HN2O5P	0.41764600613134517	0.41764600613134517	0.0	3	9.352931422331179E-4	4.903154845884786	4.903154845884786	-109172.06536296639	
2	B2H4O6P2	[M - H2O + H]+	B2H2O5P2	-3.330200163683363	-3.330200163683363	0.0	2	0.0	NaN	NaN	-109180.02233551451	
3	BH5N3O2P3	[M - H2O + H]+	BH3N3OP3	-7.479759429507709	-7.479759429507709	0.0	2	0.0	NaN	NaN	-109169.19116818067	
4	C2H7BO3P3	[M - H2O + H]+	C2H5BO2P3	-8.003970100127358	-8.003970100127358	0.0	4	0.041581093066485185	8.968093279477653	8.968093279477653	-109177.33012529917	
5	C4H2BN2O2P2	[M - H2O + H]+	C4BN2OP2	-9.039995853292568	-9.039995853292568	0.0	3	0.006184837214463278	-1.6080769786744982	1.6080769786744982	-109167.30763818446	
