formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	CH5O9	[M - CHO + H]+	H4O8	14.425677205237495	14.425677205237495	0.0	4	0.019096343447394595	2.1237878440591897	2.1237878440591897	-218066.6334889461	
2	C2HN4O5	[M - CHO + H]+	CN4O4	-1.067419923283272	-1.067419923283272	0.0	2	0.0	-7.9319290103629	7.9319290103629	-218076.6892062542	
3	C5H7O2P2	[M - CHO + H]+	C4H6OP2	-4.404108367947977	-4.404108367947977	0.0	2	0.0	11.364636380180192	11.364636380180192	-218057.3926399931	
