formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C7H6N2O4S3	[M - H2O + H]+	C7H4N2O3S3	7.536365295079333	7.536365295079333	0.0	4	0.2597211357047535	-0.5940416570004436	0.930249259974686	-69019.99646934507	
1	C7H4N2O3S3	[M + H]+	C7H4N2O3S3	7.536365295079333	7.536365295079333	0.0	3	0.2597211357047535	-0.5940416570004436	0.930249259974686	0.33938051359529603	
2	C7H8N2O2P2S2	[M - H2O + H]+	C7H6N2OP2S2	1.4221761203592225	1.4221761203592225	0.0	5	0.2683570321967082	-2.0871532109768958	2.0871532109768958	-69024.87519951185	
2	C7H6N2OP2S2	[M + H]+	C7H6N2OP2S2	1.4221761203592225	1.4221761203592225	0.0	4	0.2683570321967082	-2.0871532109768958	2.0871532109768958	-4.539349653176047	
3	C3H9N3O4PS3	[M - H2O + H]+	C3H7N3O3PS3	1.2138996593565503	1.2138996593565503	0.0	5	0.2683570321967082	-1.1847765363960772	1.6680622385337887	-69021.18723783335	
3	C3H7N3O3PS3	[M + H]+	C3H7N3O3PS3	1.2138996593565503	1.2138996593565503	0.0	4	0.2683570321967082	-1.1847765363960772	1.6680622385337887	-0.8513879742495554	
4	C6H2N2O6P2	[M + H]+	C6H2N2O6P2	-0.61634254042649	-0.61634254042649	0.0	1	0.0	0.08623968234472365	0.08623968234472365	-1.2090484951577156	
5	C6N2O8S	[M + H]+	C6N2O8S	-1.0882090484674123	-1.0882090484674123	0.0	1	0.0	4.964963529762201	4.964963529762201	3.6696816716136276	
6	C8H9O3P3S	[M - H2O + H]+	C8H7O2P3S	-1.1736339726025298	-1.1736339726025298	0.0	4	0.04982641285618598	-4.6760700040891985	4.6760700040891985	-69018.29253676161	
6	C8H7O2P3S	[M + H]+	C8H7O2P3S	-1.1736339726025298	-1.1736339726025298	0.0	3	0.04982641285618598	-4.6760700040891985	4.6760700040891985	2.0433130970535203	
7	C2N2O13	[M + H]+	C2N2O13	-1.8321354729479058	-1.8321354729479058	0.0	1	0.0	-4.6236063829768765	4.6236063829768765	-5.918900661087768	
8	C4H5O9PS	[M + H]+	C4H5O9PS	-2.3343629186318737	-2.3343629186318737	0.0	1	0.0	-1.3712490035060663	1.3712490035060663	-2.6665390688765322	
9	C5H9O4PS3	[M + H]+	C5H9O4PS3	-2.667909542275102	-2.667909542275102	0.0	1	0.0	-4.7015458478298955	4.7015458478298955	-5.9968402268948635	
10	C15OS2	[M + H]+	C15OS2	-3.8295140763485747	-3.8295140763485747	0.0	1	0.0	-0.8625232706266907	0.8625232706266907	-2.1578126770506723	
