formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C6H15NO4	[M + H]+	C6H15NO4	68.71539962074206	63.99233968550955	4.723059935232514	12	0.6867494183559345	-2.318419114545927	2.596929122253064	-0.1469657367335918	
1	C6H12O4	[M + H3N + H]+	C6H15NO4	68.71539962074206	63.99233968550955	4.723059935232514	12	0.6867494183559344	-2.318419114545927	2.596929122253064	-0.1469657367335918	
1	C6H13NO3	[M + H2O + H]+	C6H15NO4	68.71539962074206	63.99233968550955	4.723059935232514	10	0.6084775212432866	-2.318419114545927	2.596929122253064	-0.1469657367335918	
1	C6H17NO5	[M - H2O + H]+	C6H15NO4	68.71539962074206	63.99233968550955	4.723059935232514	13	0.6867494183559345	-2.318419114545927	2.596929122253064	-108427.3995811535	
2	C7H15N2O	[M + Na]+	C7H15N2O	30.35307984358947	26.78148867708267	3.571591166506799	9	0.19090612096851792	-2.978811417537853	2.978811417537853	-1.798837152785284	
3	C4H15N4O4	[M - H2O + H]+	C4H13N4O3	29.252683718862897	26.270425082288032	2.9822586365748665	10	0.1986505432501654	-2.818457592028324	2.978811417537853	-108419.31635112697	
3	C4H10N3O3	[M + H3N + H]+	C4H13N4O3	29.252683718862897	26.270425082288032	2.9822586365748665	9	0.1986505432501654	-2.818457592028324	2.978811417537853	7.936264289966736	
3	C4H13N4O3	[M + H]+	C4H13N4O3	29.252683718862897	26.270425082288032	2.9822586365748665	9	0.1986505432501654	-2.818457592028324	2.978811417537853	7.936264289966736	
3	C4H11N4O2	[M + H2O + H]+	C4H13N4O3	23.12330347567544	20.141044839100573	2.9822586365748665	7	0.10546156045183942	-2.3754006524778033	2.818457592028324	7.936264289966736	
4	C7H11N5	[M + H]+	C7H11N5	8.519810937729723	6.356945822485121	2.1628651152446015	3	0.09318898279832598	-4.041617688187794	4.041617688187794	-8.198336849862917	
4	C7H13N5O	[M - H2O + H]+	C7H11N5	8.519810937729723	6.356945822485121	2.1628651152446015	4	0.09318898279832598	-4.041617688187794	4.041617688187794	-108435.4509522668	
4	C7H8N4	[M + H3N + H]+	C7H11N5	8.519810937729723	6.356945822485121	2.1628651152446015	3	0.09318898279832598	-4.041617688187794	4.041617688187794	-8.198336849862917	
5	C5H13N5	[M + Na]+	C5H13N5	5.974573469069615	3.475667527684764	2.4989059413848507	3	0.09318898279832598	-3.2580623369057666	4.041617688187794	6.284392873915044	
6	C3H11N5P	[M + H3N + H]+	C3H14N6P	-7.7458240843290715	-9.140502591231538	1.3946785069024665	3	0.09318898279832598	-4.041617688187794	4.041617688187794	-10.068970396800596	
6	C3H14N6P	[M + H]+	C3H14N6P	-7.7458240843290715	-9.140502591231538	1.3946785069024665	3	0.09318898279832598	-4.041617688187794	4.041617688187794	-10.068970396800596	
6	C3H16N6OP	[M - H2O + H]+	C3H14N6P	-7.7458240843290715	-9.140502591231538	1.3946785069024665	4	0.09318898279832598	-4.041617688187794	4.041617688187794	-108437.3215858139	
