formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C2H7N2O6P	[M + K]+	C2H7N2O6P	24.71893827291558	24.71893827291558	0.0	10	0.23146210653979987	3.911064540404114	5.457895386068698	7.686949972053666	
2	C3H7ClN2O5	[M + K]+	C3H7ClN2O5	22.454677427831584	22.454677427831584	0.0	9	0.11962545660635301	3.564269082798057	3.564269082798057	6.902708796798539	
3	C2H6ClN3O4P	[M + Na]+	C2H6ClN3O4P	17.392047618999662	17.392047618999662	0.0	13	0.26382004842587076	0.9782978738830569	4.298159574425428	6.197820755889017	
4	C6H3ClN2O4	[M + Na]+	C6H3ClN2O4	14.88422766114677	14.88422766114677	0.0	9	0.1008362764283685	3.408862983739363	3.408862983739363	7.579015129947627	
5	C5H5N3O3P	[M + K]+	C5H5N3O3P	14.06911903088459	14.06911903088459	0.0	7	0.16964773712164585	3.504529261375177	4.911668255356265	-4.226137098631052	
6	C5H3N2O5P	[M + Na]+	C5H3N2O5P	13.419810118157482	13.419810118157482	0.0	8	0.09788284631059183	3.817981060662512	4.669617083994263	8.363256304950083	
7	C9H2N2O3	[M + K]+	C9H2N2O3	12.567263022330001	12.567263022330001	0.0	6	0.060835180428910736	5.658940602808328	5.658940602808328	-2.8449427245724426	
8	C3H6Cl2N3O3	[M + Na]+	C3H6Cl2N3O3	12.513449739221365	12.513449739221365	0.0	9	0.11962834081545241	3.010458800537617	3.4659703756242783	5.41357958063389	
9	C4H6ClN3O5P	[M - H2O + H]+	C4H4ClN3O4P	12.437484363686016	12.437484363686016	0.0	8	0.16964773712164585	3.0921371884400295	4.50004145030158	-80062.45860693262	
9	C4H4ClN3O4P	[M + H]+	C4H4ClN3O4P	12.437484363686016	12.437484363686016	0.0	7	0.16964773712164585	3.0921371884400295	4.50004145030158	-4.49559637449454	
10	C6H5ClN3O2	[M + K]+	C6H5ClN3O2	11.981380051591128	11.981380051591128	0.0	6	0.05919550755590679	4.492672216287874	4.963245803668859	-5.01037827388618	
11	C4H2ClN3O3P	[M + H2O + H]+	C4H4ClN3O4P	6.843112209258397	6.843112209258397	0.0	5	0.0515105324105787	3.0921371884400295	4.50004145030158	-4.49559637449454	
11	C4HClN2O4P	[M + H3N + H]+	C4H4ClN3O4P	-1.7797263550748585	-1.7797263550748585	0.0	3	0.026485692159710195	3.0921371884400295	3.564269082798057	-4.49559637449454	
